transaction_id,account_id,tag,reason_codes,narrative
T0001,A10001,Anomalous,FOREIGN;HIGH_VALUE;ODD_HOURS,"Transaction T0001 was flagged as FOREIGN because it was made in Hong Kong, which is different from the home country of the account holder, the US. Additionally, it was flagged as HIGH_VALUE since the amount of $9,800 exceeds 5 times the historical average of $300."
T0002,A10002,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0003,A10003,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0004,A10001,Anomalous,FOREIGN;ODD_HOURS,"Transaction T0004 was flagged as FOREIGN because the transaction occurred in Hong Kong, which is different from the home country of the account holder, the US. Additionally, it was flagged as ODD_HOURS, indicating that the transaction took place during the early morning hours between 00:00 and 05:00."
T0005,A10004,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0006,A20001,Anomalous,VELOCITY,"Transaction T0006 was flagged due to the VELOCITY reason code, as it was identified that there were more than 3 transactions within a 10-minute period. This pattern of rapid transactions raised concerns about potential fraudulent activity."
T0007,A20001,Anomalous,VELOCITY,"Transaction T0007 was flagged due to the VELOCITY reason code, as it involved multiple transactions occurring within a short time frame. The amount of $18.0 is not a high value, but the frequency of transactions in this period raised concerns about potential fraudulent activity."
T0008,A20001,Anomalous,VELOCITY,"Transaction T0008 was flagged as VELOCITY because it was processed within a timeframe that exceeded the threshold of 3 transactions within 10 minutes. The amount of $22.0 is below the high-value threshold, but the frequency of transactions raised concerns."
T0009,A20001,Anomalous,VELOCITY,"Transaction T0009 was flagged due to the VELOCITY reason code, as it was identified that there were more than 3 transactions within a 10-minute period. This pattern of rapid transactions raised concerns about potential fraudulent activity."
T0010,A30001,Anomalous,HIGH_VALUE,"Transaction T0010 was flagged as HIGH_VALUE because the amount of $6,000 exceeded 5 times the historical average of $2,000. This significant increase in transaction amount raised concerns regarding its legitimacy."
T0011,A40001,Anomalous,HIGH_VALUE,"Transaction T0011 was flagged as HIGH_VALUE because the amount of $2,000 exceeded 5 times the historical average of $300. This significant deviation from the historical average raised concerns regarding the legitimacy of the transaction."
T0012,A10005,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0013,A50001,Anomalous,FOREIGN,"Transaction T0013 was flagged due to the FOREIGN reason code, as the transaction occurred in the UK while the home country of the account is the US. Additionally, the amount of $120.0 is greater than the historical average of $80, but does not exceed the threshold for HIGH_VALUE."
T0014,A60001,Anomalous,FOREIGN;HIGH_VALUE,"Transaction T0014 was flagged as FOREIGN because it was made in India, which is not the home country of the account holder, the US. Additionally, it was flagged as HIGH_VALUE since the amount of $7,000 exceeds the threshold of $5,000."
T0015,A70001,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0016,A80001,Anomalous,HIGH_VALUE,"Transaction T0016 was flagged as HIGH_VALUE because the amount of $2,600 exceeded 5 times the historical average of $400. This significant deviation from the historical spending pattern raised concerns about the legitimacy of the transaction."
T0017,A90001,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0018,A10009,Anomalous,FOREIGN,"Transaction T0018 was flagged as FOREIGN because the transaction occurred in Singapore, which is the same as the home country, but the merchant is categorized under a foreign entity, Tech Retail. Additionally, the amount of $350.0 is significantly higher than the historical average of $120, which may raise concerns, but the primary reason for flagging is the foreign merchant association."
T0019,A11001,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
T0020,A12001,Normal,Non Suspecious,This transaction qualifies the normal transaction criteria. Hence Normal tag is applied.
